
--- Run started 2026-02-08 17:56:26 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 105000/500000, Total Reward: 35924, Epsilon: 0.0100, Buffer: 100000
Episode 106000/500000, Total Reward: 33553, Epsilon: 0.0100, Buffer: 100000
Episode 107000/500000, Total Reward: 30171, Epsilon: 0.0100, Buffer: 100000
Episode 108000/500000, Total Reward: 40204, Epsilon: 0.0100, Buffer: 100000
Episode 109000/500000, Total Reward: 34492, Epsilon: 0.0100, Buffer: 100000
Episode 110000/500000, Total Reward: 28828, Epsilon: 0.0100, Buffer: 100000
Episode 111000/500000, Total Reward: 40480, Epsilon: 0.0100, Buffer: 100000
Episode 112000/500000, Total Reward: 32614, Epsilon: 0.0100, Buffer: 100000
Episode 113000/500000, Total Reward: 27815, Epsilon: 0.0100, Buffer: 100000
Episode 114000/500000, Total Reward: 33713, Epsilon: 0.0100, Buffer: 100000
Episode 115000/500000, Total Reward: 26515, Epsilon: 0.0100, Buffer: 100000
Episode 116000/500000, Total Reward: 41944, Epsilon: 0.0100, Buffer: 100000
Episode 117000/500000, Total Reward: 30776, Epsilon: 0.0100, Buffer: 100000
Episode 118000/500000, Total Reward: 25580, Epsilon: 0.0100, Buffer: 100000
Episode 119000/500000, Total Reward: 32098, Epsilon: 0.0100, Buffer: 100000
Episode 120000/500000, Total Reward: 35002, Epsilon: 0.0100, Buffer: 100000
Episode 121000/500000, Total Reward: 27721, Epsilon: 0.0100, Buffer: 100000
Episode 122000/500000, Total Reward: 22002, Epsilon: 0.0100, Buffer: 100000
Episode 123000/500000, Total Reward: 32921, Epsilon: 0.0100, Buffer: 100000
Episode 124000/500000, Total Reward: 33320, Epsilon: 0.0100, Buffer: 100000
Episode 125000/500000, Total Reward: 29357, Epsilon: 0.0100, Buffer: 100000
Episode 126000/500000, Total Reward: 25701, Epsilon: 0.0100, Buffer: 100000
Episode 127000/500000, Total Reward: 33588, Epsilon: 0.0100, Buffer: 100000
Episode 128000/500000, Total Reward: 28753, Epsilon: 0.0100, Buffer: 100000
Episode 129000/500000, Total Reward: 32403, Epsilon: 0.0100, Buffer: 100000
Episode 130000/500000, Total Reward: 17428, Epsilon: 0.0100, Buffer: 100000
Episode 131000/500000, Total Reward: 28335, Epsilon: 0.0100, Buffer: 100000
Episode 132000/500000, Total Reward: 27177, Epsilon: 0.0100, Buffer: 100000
Episode 133000/500000, Total Reward: 32104, Epsilon: 0.0100, Buffer: 100000
Episode 134000/500000, Total Reward: 33760, Epsilon: 0.0100, Buffer: 100000
Episode 135000/500000, Total Reward: 37896, Epsilon: 0.0100, Buffer: 100000
Episode 136000/500000, Total Reward: 32750, Epsilon: 0.0100, Buffer: 100000
Episode 137000/500000, Total Reward: 35205, Epsilon: 0.0100, Buffer: 100000
Episode 138000/500000, Total Reward: 24841, Epsilon: 0.0100, Buffer: 100000
Episode 139000/500000, Total Reward: 19901, Epsilon: 0.0100, Buffer: 100000
Episode 140000/500000, Total Reward: 36533, Epsilon: 0.0100, Buffer: 100000
Episode 141000/500000, Total Reward: 25587, Epsilon: 0.0100, Buffer: 100000
Episode 142000/500000, Total Reward: 42874, Epsilon: 0.0100, Buffer: 100000
Episode 143000/500000, Total Reward: 30676, Epsilon: 0.0100, Buffer: 100000
Episode 144000/500000, Total Reward: 18810, Epsilon: 0.0100, Buffer: 100000
Episode 145000/500000, Total Reward: 39210, Epsilon: 0.0100, Buffer: 100000
Episode 146000/500000, Total Reward: 25774, Epsilon: 0.0100, Buffer: 100000
Episode 147000/500000, Total Reward: 26074, Epsilon: 0.0100, Buffer: 100000
Episode 148000/500000, Total Reward: 33250, Epsilon: 0.0100, Buffer: 100000
Episode 149000/500000, Total Reward: 29785, Epsilon: 0.0100, Buffer: 100000
Episode 150000/500000, Total Reward: 23912, Epsilon: 0.0100, Buffer: 100000
Episode 151000/500000, Total Reward: 38229, Epsilon: 0.0100, Buffer: 100000
Episode 152000/500000, Total Reward: 33051, Epsilon: 0.0100, Buffer: 100000
Episode 153000/500000, Total Reward: 37509, Epsilon: 0.0100, Buffer: 100000
