scenario,metric,parity,mean,std_across_seeds,se_across_seeds
OB,replacement_fraction,2,0.15690530295514019,,0.0024274804699308413
OB,parity_fraction,3,0.1591788888888889,,0.0005359496014632742
OB,replacement_fraction,3,0.14130085130087827,,0.0021495168907670285
OB,parity_fraction,4,0.11833,,0.00036082296195855265
OB,replacement_fraction,4,0.11463027480222407,,0.001135339084634385
OB,parity_fraction,5,0.08609111111111109,,0.0005471322543075876
OB,replacement_fraction,5,0.09844407367018677,,0.002063537245172169
OB,parity_fraction,6,0.0589488888888889,,0.00044166631726051843
OB,replacement_fraction,6,0.09015154456536581,,0.0023443864977973385
OB,parity_fraction,7,0.037325555555555556,,0.00033520585162398795
OB,replacement_fraction,7,0.07171499993536128,,0.0017059274743043424
OB,parity_fraction,8,0.02275,,0.0006674601759054638
OB,replacement_fraction,8,0.05575292618782792,,0.0016721231961967734
OB,parity_fraction,9,0.013407777777777777,,0.0004227905531724329
OB,replacement_fraction,9,0.046519424188575215,,0.001030131544525617
OB,parity_fraction,10,0.0074555555555555555,,0.00017888543819998324
OB,replacement_fraction,10,0.038970589529419244,,0.0021421459463792838
OB,parity_fraction,11,0.0038255555555555556,,0.0003401778764915805
OB,replacement_fraction,11,0.030505549403860445,,0.0009044801106993498
OB,parity_fraction,12,0.001912222222222222,,0.00013454771057046304
OB,replacement_fraction,12,0.03218165626732918,,0.0008168279574844717
OB,mean_parity,all,3.117778888888888,,0.005232102178845176
OB,mean_replacement_parity,all,4.827628466264795,,0.03133935221584508
OB,replacements_per_15yr,all,3.6798,,0.02518015091297105
OB,annual_culling_rate_total,all,0.24531999999999998,,0.0016786767275314058
OB,annual_culling_rate_voluntary,all,0.20401333333333332,,0.004703209306184212
OB,annual_culling_rate_death,all,0.03741333333333333,,0.00044591977355175046
OB,annual_culling_rate_involuntary,all,0.0038933333333333333,,0.0033121057417365833
OB,avg_cow_lifespan_months,all,48.91570194032284,,
OB,parity_annual_rate_total,0,0.03385600372971283,,0.02057709803214075
OB,parity_annual_rate_voluntary,0,0.03385600372971283,,0.02057709803214075
OB,parity_annual_rate_death,0,0.0,,0.0
OB,parity_annual_rate_involuntary,0,0.0,,0.0
OB,parity_annual_rate_total,1,0.11270772081145763,,0.0033091501807004297
OB,parity_annual_rate_voluntary,1,0.07826504835443836,,0.014642099598572355
OB,parity_annual_rate_death,1,0.02211071633193802,,0.0006718066600024669
OB,parity_annual_rate_involuntary,1,0.01233195612508127,,0.012331956125081268
OB,parity_annual_rate_total,2,0.18435627738105217,,0.003227043230998458
OB,parity_annual_rate_voluntary,2,0.1574708758466235,,0.0033120918097926133
OB,parity_annual_rate_death,2,0.026885401534428633,,0.00106480103825262
