parity,mac,mip,cm,V,Q_keep,Q_replace,cow_value,action
2,8,1,0,1686.90,1686.90,921.07,765.84,keep
2,8,1,1,1397.50,1397.50,952.92,444.58,keep
2,8,2,0,1742.70,1742.70,921.07,821.64,keep
2,8,2,1,1453.11,1453.11,952.92,500.19,keep
2,8,3,0,1791.78,1791.78,921.07,870.72,keep
2,8,3,1,1502.15,1502.15,952.92,549.23,keep
2,8,4,0,1832.42,1832.42,921.07,911.36,keep
2,8,4,1,1543.24,1543.24,952.92,590.32,keep
2,8,5,0,1862.66,1862.66,921.07,941.60,keep
2,8,5,1,1575.64,1575.64,952.92,622.72,keep
2,9,0,0,1144.12,1144.12,929.54,214.58,keep
2,9,0,1,956.78,890.92,956.78,-65.86,replace
2,9,1,0,1596.97,1596.97,929.54,667.43,keep
2,9,1,1,1321.40,1321.40,956.78,364.61,keep
2,9,2,0,1661.35,1661.35,929.54,731.81,keep
2,9,2,1,1385.55,1385.55,956.78,428.76,keep
2,9,3,0,1720.22,1720.22,929.54,790.68,keep
2,9,3,1,1444.32,1444.32,956.78,487.53,keep
2,9,4,0,1771.99,1771.99,929.54,842.45,keep
2,9,4,1,1496.42,1496.42,956.78,539.64,keep
2,9,5,0,1814.82,1814.82,929.54,885.28,keep
2,9,5,1,1541.13,1541.13,956.78,584.34,keep
2,9,6,0,1846.52,1846.52,929.54,916.98,keep
2,9,6,1,1580.20,1580.20,956.78,623.42,keep
2,10,0,0,1052.02,1052.02,937.74,114.28,keep
2,10,0,1,960.54,832.76,960.54,-127.78,replace
2,10,1,0,1512.58,1512.58,937.74,574.84,keep
2,10,1,1,1250.19,1250.19,960.54,289.65,keep
2,10,2,0,1584.89,1584.89,937.74,647.14,keep
2,10,2,1,1322.22,1322.22,960.54,361.68,keep
2,10,3,0,1652.82,1652.82,937.74,715.08,keep
2,10,3,1,1389.99,1389.99,960.54,429.45,keep
2,10,4,0,1714.92,1714.92,937.74,777.18,keep
2,10,4,1,1452.33,1452.33,960.54,491.79,keep
2,10,5,0,1769.49,1769.49,937.74,831.75,keep
2,10,5,1,1508.51,1508.51,960.54,547.97,keep
2,10,6,0,1814.49,1814.49,937.74,876.75,keep
2,10,6,1,1560.08,1560.08,960.54,599.53,keep
2,10,7,0,1847.28,1847.28,937.74,909.54,keep
2,10,7,1,1617.32,1617.32,960.54,656.77,keep
2,11,0,0,981.48,981.48,945.54,35.93,keep
2,11,0,1,964.12,807.00,964.12,-157.12,replace
2,11,1,0,1433.87,1433.87,945.54,488.33,keep
2,11,1,1,1183.92,1183.92,964.12,219.80,keep
2,11,2,0,1513.46,1513.46,945.54,567.91,keep
2,11,2,1,1263.20,1263.20,964.12,299.08,keep
2,11,3,0,1589.74,1589.74,945.54,644.20,keep
2,11,3,1,1339.28,1339.28,964.12,375.15,keep
2,11,4,0,1661.41,1661.41,945.54,715.86,keep
2,11,4,1,1411.08,1411.08,964.12,446.95,keep
2,11,5,0,1726.89,1726.89,945.54,781.34,keep
2,11,5,1,1477.92,1477.92,964.12,513.80,keep
2,11,6,0,1784.30,1784.30,945.54,838.76,keep
2,11,6,1,1541.13,1541.13,964.12,577.01,keep
2,11,7,0,1831.19,1831.19,945.54,885.65,keep
2,11,7,1,1609.94,1609.94,964.12,645.81,keep
2,11,8,0,1863.61,1863.61,1032.91,830.70,keep
2,11,8,1,1722.77,1722.77,1004.31,718.46,keep
2,12,0,0,963.24,963.24,952.89,10.35,keep
2,12,0,1,967.50,798.98,967.50,-168.52,replace
2,12,2,0,1447.07,1447.07,952.89,494.19,keep
2,12,2,1,1208.44,1208.44,967.50,240.94,keep
2,12,3,0,1531.04,1531.04,952.89,578.15,keep
2,12,3,1,1292.15,1292.15,967.50,324.65,keep
