parity,mac,mip,cm,V,Q_keep,Q_replace,cow_value,action
1,16,9,0,8583.85,8583.85,5910.11,2673.74,keep
1,16,9,1,8321.94,8321.94,5795.41,2526.53,keep
1,17,0,0,5865.23,5774.28,5865.23,-90.95,replace
1,17,0,1,5774.76,5516.70,5774.76,-258.07,replace
1,17,7,0,7863.51,7863.51,5865.23,1998.28,keep
1,17,7,1,7577.69,7577.69,5774.76,1802.92,keep
1,17,8,0,8074.51,8074.51,5910.11,2164.40,keep
1,17,8,1,7905.02,7905.02,5795.41,2109.62,keep
1,17,9,0,8583.85,8583.85,5910.11,2673.74,keep
1,17,9,1,8321.94,8321.94,5795.41,2526.53,keep
1,18,0,0,5870.01,5870.01,5867.80,2.21,keep
1,18,0,1,5775.95,5583.56,5775.95,-192.39,replace
1,18,8,0,8074.51,8074.51,5910.11,2164.40,keep
1,18,8,1,7905.02,7905.02,5795.41,2109.62,keep
1,18,9,0,8583.85,8583.85,5910.11,2673.74,keep
1,18,9,1,8321.94,8321.94,5795.41,2526.53,keep
1,19,0,0,5989.67,5989.67,5870.26,119.41,keep
1,19,0,1,5777.08,5701.86,5777.08,-75.22,replace
1,19,9,0,8583.85,8583.85,5910.11,2673.74,keep
1,19,9,1,8321.94,8321.94,5795.41,2526.53,keep
1,20,0,0,6132.03,6132.03,5872.60,259.43,keep
1,20,0,1,5890.40,5890.40,5778.16,112.24,keep
2,1,0,0,7905.72,7905.72,6152.59,1753.12,keep
2,1,0,1,7351.48,7351.48,6053.58,1297.90,keep
2,2,0,0,7857.65,7857.65,6111.10,1746.55,keep
2,2,0,1,7245.55,7245.55,6027.30,1218.26,keep
2,3,0,0,7735.82,7735.82,6096.50,1639.32,keep
2,3,0,1,7078.44,7078.44,6017.42,1061.02,keep
2,4,0,0,7460.98,7460.98,6093.34,1367.64,keep
2,4,0,1,6819.97,6819.97,6014.58,805.39,keep
2,4,1,0,8074.36,8074.36,6093.34,1981.02,keep
2,4,1,1,7508.98,7508.98,6014.58,1494.40,keep
2,5,0,0,7185.17,7185.17,6095.36,1089.81,keep
2,5,0,1,6569.13,6569.13,6014.90,554.23,keep
2,5,1,0,7878.70,7878.70,6095.36,1783.33,keep
2,5,1,1,7338.03,7338.03,6014.90,1323.13,keep
2,5,2,0,7993.44,7993.44,6095.36,1898.08,keep
2,5,2,1,7452.41,7452.41,6014.90,1437.51,keep
2,6,0,0,6922.05,6922.05,6099.68,822.37,keep
2,6,0,1,6338.59,6338.59,6016.62,321.97,keep
2,6,1,0,7683.38,7683.38,6099.68,1583.70,keep
2,6,1,1,7169.73,7169.73,6016.62,1153.11,keep
2,6,2,0,7818.70,7818.70,6099.68,1719.02,keep
2,6,2,1,7304.58,7304.58,6016.62,1287.96,keep
2,6,3,0,7939.76,7939.76,6099.68,1840.08,keep
2,6,3,1,7425.53,7425.53,6016.62,1408.91,keep
2,7,0,0,6682.59,6682.59,6104.95,577.64,keep
2,7,0,1,6144.69,6144.69,6018.92,125.76,keep
2,7,1,0,7493.20,7493.20,6104.95,1388.25,keep
2,7,1,1,7007.21,7007.21,6018.92,988.29,keep
2,7,2,0,7647.72,7647.72,6104.95,1542.77,keep
2,7,2,1,7161.17,7161.17,6018.92,1142.24,keep
2,7,3,0,7790.49,7790.49,6104.95,1685.54,keep
2,7,3,1,7303.69,7303.69,6018.92,1284.77,keep
2,7,4,0,7918.18,7918.18,6104.95,1813.24,keep
2,7,4,1,7432.20,7432.20,6018.92,1413.28,keep
2,8,0,0,6475.92,6475.92,6110.52,365.40,keep
2,8,0,1,6021.43,6008.89,6021.43,-12.54,replace
2,8,1,0,7311.01,7311.01,6110.52,1200.49,keep
2,8,1,1,6852.40,6852.40,6021.43,830.96,keep
2,8,2,0,7483.36,7483.36,6110.52,1372.84,keep
