parity,mac,mip,cm,V,Q_keep,Q_replace,cow_value,action
2,10,7,1,3265.75,3265.75,1843.31,1422.43,keep
2,11,0,0,1928.41,1898.71,1928.41,-29.70,replace
2,11,0,1,1846.90,1691.18,1846.90,-155.72,replace
2,11,1,0,2624.24,2624.24,1928.41,695.83,keep
2,11,1,1,2364.86,2364.86,1846.90,517.96,keep
2,11,2,0,2771.96,2771.96,1928.41,843.56,keep
2,11,2,1,2511.98,2511.98,1846.90,665.09,keep
2,11,3,0,2920.15,2920.15,1928.41,991.74,keep
2,11,3,1,2659.65,2659.65,1846.90,812.75,keep
2,11,4,0,3067.68,3067.68,1928.41,1139.27,keep
2,11,4,1,2806.99,2806.99,1846.90,960.09,keep
2,11,5,0,3213.20,3213.20,1928.41,1284.79,keep
2,11,5,1,2953.53,2953.53,1846.90,1106.63,keep
2,11,6,0,3355.08,3355.08,1928.41,1426.67,keep
2,11,6,1,3100.84,3100.84,1846.90,1253.94,keep
2,11,7,0,3491.07,3491.07,1928.41,1562.67,keep
2,11,7,1,3258.37,3258.37,1846.90,1411.47,keep
2,11,8,0,3617.52,3617.52,2015.77,1601.75,keep
2,11,8,1,3464.82,3464.82,1887.08,1577.73,keep
2,12,0,0,1935.75,1890.02,1935.75,-45.73,replace
2,12,0,1,1850.27,1689.51,1850.27,-160.76,replace
2,12,2,0,2705.58,2705.58,1935.75,769.83,keep
2,12,2,1,2457.22,2457.22,1850.27,606.95,keep
2,12,3,0,2861.45,2861.45,1935.75,925.70,keep
2,12,3,1,2612.52,2612.52,1850.27,762.25,keep
2,12,4,0,3017.79,3017.79,1935.75,1082.04,keep
2,12,4,1,2768.59,2768.59,1850.27,918.32,keep
2,12,5,0,3173.41,3173.41,1935.75,1237.66,keep
2,12,5,1,2925.00,2925.00,1850.27,1074.72,keep
2,12,6,0,3326.81,3326.81,1935.75,1391.06,keep
2,12,6,1,3083.13,3083.13,1850.27,1232.85,keep
2,12,7,0,3475.97,3475.97,1935.75,1540.22,keep
2,12,7,1,3251.44,3251.44,1850.27,1401.17,keep
2,12,8,0,3617.51,3617.51,2015.77,1601.74,keep
2,12,8,1,3464.81,3464.81,1887.08,1577.73,keep
2,12,9,0,3941.52,3941.52,2015.77,1925.75,keep
2,12,9,1,3735.48,3735.48,1887.08,1848.40,keep
2,13,0,0,1942.61,1881.88,1942.61,-60.73,replace
