parity,mac,mip,cm,V,Q_keep,Q_replace,cow_value,action
1,14,8,0,5359.10,5359.10,4314.54,1044.56,keep
1,14,8,1,5203.75,5203.75,4216.53,987.22,keep
1,14,9,0,5740.87,5740.87,4314.54,1426.33,keep
1,14,9,1,5513.77,5513.77,4216.53,1297.24,keep
1,15,0,0,4250.92,4183.10,4250.92,-67.82,replace
1,15,0,1,4187.27,3956.52,4187.27,-230.74,replace
1,15,5,0,4949.98,4949.98,4250.92,699.06,keep
1,15,5,1,4655.60,4655.60,4187.27,468.33,keep
1,15,6,0,5091.68,5091.68,4250.92,840.75,keep
1,15,6,1,4805.46,4805.46,4187.27,618.19,keep
1,15,7,0,5229.00,5229.00,4250.92,978.08,keep
1,15,7,1,4972.04,4972.04,4187.27,784.77,keep
1,15,8,0,5359.10,5359.10,4314.54,1044.56,keep
1,15,8,1,5203.75,5203.75,4216.53,987.22,keep
1,15,9,0,5740.87,5740.87,4314.54,1426.33,keep
1,15,9,1,5513.77,5513.77,4216.53,1297.24,keep
1,16,0,0,4254.46,4173.48,4254.46,-80.98,replace
1,16,0,1,4188.89,3953.25,4188.89,-235.64,replace
1,16,6,0,5067.32,5067.32,4254.46,812.87,keep
1,16,6,1,4790.14,4790.14,4188.89,601.25,keep
1,16,7,0,5216.19,5216.19,4254.46,961.73,keep
1,16,7,1,4966.16,4966.16,4188.89,777.27,keep
1,16,8,0,5359.10,5359.10,4314.54,1044.56,keep
1,16,8,1,5203.75,5203.75,4216.53,987.22,keep
1,16,9,0,5740.87,5740.87,4314.54,1426.33,keep
1,16,9,1,5513.77,5513.77,4216.53,1297.24,keep
1,17,0,0,4257.85,4164.22,4257.85,-93.63,replace
1,17,0,1,4190.45,3950.10,4190.45,-240.35,replace
1,17,7,0,5203.89,5203.89,4257.85,946.03,keep
1,17,7,1,4960.52,4960.52,4190.45,770.06,keep
1,17,8,0,5359.10,5359.10,4314.54,1044.56,keep
1,17,8,1,5203.75,5203.75,4216.53,987.22,keep
1,17,9,0,5740.87,5740.87,4314.54,1426.33,keep
1,17,9,1,5513.77,5513.77,4216.53,1297.24,keep
1,18,0,0,4261.10,4234.28,4261.10,-26.82,replace
1,18,0,1,4191.95,3999.31,4191.95,-192.63,replace
1,18,8,0,5359.10,5359.10,4314.54,1044.56,keep
1,18,8,1,5203.75,5203.75,4216.53,987.22,keep
1,18,9,0,5740.87,5740.87,4314.54,1426.33,keep
1,18,9,1,5513.77,5513.77,4216.53,1297.24,keep
1,19,0,0,4349.13,4349.13,4264.21,84.92,keep
1,19,0,1,4193.38,4107.73,4193.38,-85.65,replace
1,19,9,0,5740.87,5740.87,4314.54,1426.33,keep
1,19,9,1,5513.77,5513.77,4216.53,1297.24,keep
1,20,0,0,4482.89,4482.89,4267.17,215.72,keep
