parity,mac,mip,cm,V,Q_keep,Q_replace,cow_value,action
2,11,0,0,5156.29,5156.29,5138.05,18.24,keep
2,11,0,1,5140.36,4891.46,5140.36,-248.90,replace
2,11,1,0,5635.09,5635.09,5138.05,497.04,keep
2,11,1,1,5261.55,5261.55,5140.36,121.19,keep
2,11,2,0,5785.03,5785.03,5138.05,646.98,keep
2,11,2,1,5410.91,5410.91,5140.36,270.55,keep
2,11,3,0,5928.47,5928.47,5138.05,790.42,keep
2,11,3,1,5553.97,5553.97,5140.36,413.61,keep
2,11,4,0,6062.85,6062.85,5138.05,924.80,keep
2,11,4,1,5688.64,5688.64,5140.36,548.28,keep
2,11,5,0,6185.16,6185.16,5138.05,1047.11,keep
2,11,5,1,5813.65,5813.65,5140.36,673.29,keep
2,11,6,0,6291.78,6291.78,5138.05,1153.73,keep
2,11,6,1,5931.62,5931.62,5140.36,791.26,keep
2,11,7,0,6377.95,6377.95,5138.05,1239.90,keep
2,11,7,1,6060.53,6060.53,5140.36,920.17,keep
2,11,8,0,6436.05,6436.05,5195.29,1240.76,keep
2,11,8,1,6275.19,6275.19,5166.69,1108.50,keep
2,12,0,0,5142.86,5131.48,5142.86,-11.38,replace
2,12,0,1,5142.57,4881.61,5142.57,-260.97,replace
2,12,2,0,5657.48,5657.48,5142.86,514.62,keep
2,12,2,1,5305.68,5305.68,5142.57,163.11,keep
2,12,3,0,5815.68,5815.68,5142.86,672.82,keep
2,12,3,1,5463.41,5463.41,5142.57,320.84,keep
2,12,4,0,5967.01,5967.01,5142.86,824.15,keep
2,12,4,1,5614.85,5614.85,5142.57,472.28,keep
2,12,5,0,6108.72,6108.72,5142.86,965.86,keep
2,12,5,1,5758.82,5758.82,5142.57,616.24,keep
2,12,6,0,6237.49,6237.49,5142.86,1094.63,keep
2,12,6,1,5897.58,5897.58,5142.57,755.01,keep
2,12,7,0,6348.94,6348.94,5142.86,1206.08,keep
2,12,7,1,6047.23,6047.23,5142.57,904.66,keep
2,12,8,0,6436.05,6436.05,5195.28,1240.76,keep
2,12,8,1,6275.18,6275.18,5166.69,1108.50,keep
2,12,9,0,6863.39,6863.39,5195.28,1668.10,keep
2,12,9,1,6607.99,6607.99,5166.69,1441.30,keep
2,13,0,0,5147.35,5108.31,5147.35,-39.04,replace
2,13,0,1,5144.64,4872.39,5144.64,-272.24,replace
2,13,3,0,5711.16,5711.16,5147.35,563.81,keep
